"treeID","h_max","h_mean","h_p95","n_pts"
359,24.949,10.0108281786942,24.69115,582
360,24.342,6.20266445916115,14.782,453
361,22.359,10.117597826087,18.2345,276
362,22.937,9.86362755102041,17.82045,392
363,22.547,10.0272536082474,19.4904,485
364,20.832,9.33754938271605,20.1375,486
365,19.964,17.6505833333333,19.82485,12
366,24.899,9.8882925170068,23.8233,147
367,24.68,7.35105395683453,13.73295,278
368,24.508,8.86039197530864,19.5472,324
369,19.882,14.9690886075949,19.671,79
370,18.38,13.9197142857143,16.495,21
371,23.499,18.9928571428571,23.4742,35
372,24.05,14.0690833333333,22.85975,60
373,22.149,10.1338156779661,18.1572,472
374,20.902,8.03664940239044,16.3062,753
375,20.826,7.03726824183461,16.1628,1439
376,20.889,17.9673636363636,20.0275,11
377,21.91,17.56815,21.8682,20
378,22.714,19.1791034482759,22.319,29
379,24.82,9.85711656441718,23.2778,163
380,24.697,7.79604184100418,21.4215,239
381,23.775,10.2333440860215,17.8598,465
382,22.745,10.0945440251572,17.0823,318
383,20.256,18.164,19.97955,4
384,24.492,9.96515384615385,22.5654,338
385,24.851,9.80186852589642,22.9715,251
386,24.542,9.61161471861472,22.951,231
387,24.464,9.63883185840708,22.5194,113
388,22.047,9.51750948509485,17.1686,369
389,21.321,9.88582677165354,18.413,635
390,18.049,15.3521818181818,17.9866,22
391,24.887,8.7442244488978,21.9929,499
392,24.921,10.0879976851852,23.56415,432
393,24.137,9.93913214285714,20.0559,280
394,23.768,10.1153516483516,18.6392,273
395,22.346,9.42395582329317,16.1451,498
396,20.776,8.73900597371565,18.5216,837
397,20.412,12.8077524752475,19.878,101
398,19.804,14.8532142857143,19.7173,42
399,17.756,15.5529259259259,17.2651,27
400,22.382,19.386,22.1685,11
401,22.599,9.32418072289157,16.0195,415
402,20.622,8.77152325581395,19.51645,602
403,19.031,14.9907608695652,18.6635,46
404,22.928,17.3636842105263,22.8353,19
405,23.518,17.6244827586207,23.22,29
406,24.879,10.4916726190476,23.3005,168
407,19.934,13.083696969697,19.573,33
408,21.52,18.6270588235294,21.4968,17
409,23.281,19.3025862068966,23.0628,29
410,24.725,10.381287202381,21.53045,672
411,24.691,9.61507169811321,23.645,265
412,24.366,9.88649152542373,22.16525,236
413,23.973,9.67963863636364,19.62425,440
414,22.443,8.96517462165309,16.6116,859
415,19.488,15.3869090909091,18.8776,33
416,20.496,17.824125,20.0977,8
417,21.594,18.0374615384615,21.5808,13
418,24.064,12.2318559322034,22.47715,118
419,24.274,9.52904777070064,20.769,314
420,24.778,11.1450336700337,23.935,297
421,24.832,8.53661307901907,18.7456,367
422,24.553,10.3424661016949,24.03815,118
423,22.694,8.67335448916409,15.02075,646
424,18.398,15.38428,18.1022,25
425,24.579,9.58502511415525,16.50725,438
426,24.827,8.12019294605809,15.75515,482
427,24.558,12.0363865546218,24.0211,119
428,23.374,9.2948484500574,17.583,871
429,20.961,9.34531171171171,15.9353,555
430,20.58,8.31408863198459,15.8368,519
431,19.112,15.001,18.01855,20
432,24.339,9.62807591623037,20.6529,382
433,24.464,9.48803722084367,17.2058,403
434,21.392,9.18580697674419,16.48515,860
435,20.241,8.93687423312883,19.16825,326
436,19.709,16.2273055555556,19.54825,36
437,21.711,17.704,21.53525,20
438,23.222,18.3347058823529,22.51405,34
439,24.736,9.86337938596491,19.553,456
440,24.745,7.95312222222222,15.6434,720
441,24.495,9.95211111111111,23.5795,207
442,20.593,6.79462200684151,13.26335,1754
443,18.005,15.1986111111111,17.85625,18
444,20.999,18.4993333333333,20.639,6
445,24.612,9.64078486997636,21.3931,423
446,19.734,17.6179090909091,19.5285,11
447,22.795,17.6792333333333,22.3395,30
448,24.802,8.09598522167488,16.0282,609
449,24.261,8.61367897727273,20.37565,352
450,20.314,8.78743728222997,14.3266,574
451,20.324,8.62524,14.4281,550
452,19.793,12.8546666666667,19.4368,84
453,18.69,15.0456363636364,18.52265,22
454,16.984,15.19736,16.7568,25
455,24.27,9.22917338709677,21.324,248
456,23.538,8.28626267281106,15.229,651
457,22.473,8.94354727474972,16.0603,899
458,20.32,7.29337964458804,12.6997,619
459,21.386,18.0243181818182,20.7261,22
460,24.516,9.34823168908819,16.4818,669
461,24.486,9.50050708215297,18.851,353
462,24.585,8.80369064748201,16.11825,556
463,23.234,9.06628431372549,17.20095,510
464,20.799,9.06181834862385,14.8544,545
465,20.162,9.37043346007605,17.51425,526
466,20.408,16.7388571428571,19.9439,7
467,22.37,17.63,21.5045,16
468,24.449,7.42740180360721,15.9016,998
469,23.963,8.15952747252747,18.9215,364
470,22.106,8.97747931526391,15.554,701
471,19.938,9.33269169960474,18.913,253
472,18.964,14.6044210526316,18.55665,38
474,23.63,13.0933740458015,22.6975,131
475,24.441,8.90820412371134,20.212,485
476,23.602,8.44041942604857,16.4464,453
477,20.119,7.4490979020979,14.9444,572
478,18.042,14.761,17.9679,20
479,23.807,9.94869082125604,20.3855,414
480,20.027,7.23657230769231,13.2621,650
481,17.476,15.4915,17.34055,10
482,21.79,18.4177333333333,21.3763,15
483,22.676,17.4429714285714,22.6166,35
484,24.306,9.00231578947368,15.61415,722
485,24.437,9.31839145299145,20.8616,585
486,21.376,8.5141166180758,17.23975,686
487,19.759,7.51978374455733,13.564,689
488,21.605,18.0226363636364,21.334,11
489,24.394,8.86666998341625,16.0311,603
490,24.526,8.657729390681,16.1078,558
491,24.316,8.1586075,19.4154,400
